Organization,Address,Closed deals,Open deals
Pedagogium Cos,"Carrer Marià Fortuny, 75, 08830 Sant Boi de Llobregat,",3,0
Jesuitas San José,"Escuelas San Jose, Jesuitas, Avinguda de les Corts Valencianes, Valencia, Spain",2,0
Creu Roja,"Joan d’Àustria, 120",1,0
Llar d'infants Sant Josep,,1,0
CEIP Bernat Desclot,"C/ Aprestadora, 35, 08902, L´ Hospitalet De Llobregat",5,0
Col·legi Natzaret,"Col·legi Natzaret Esplugues, Carrer de Milà i Pi, Esplugues de Llobrega, Spain",2,0
Escola Ridolaina,"c/ Del Tossal n.2 25725 Montellà del Cadí Cerdanya, Lleida",1,0
La Salle Seu d'Urgell,"La Salle La Seu d'Urgell, Carrer de Sant Joan Baptista de la Salle, Seo de Urgel, Spain",1,0
La Salle Montcada,"La Salle Montcada, Carrer Sant Joan Baptista Salle, Montcada i Reixac, Spain",2,1
WHITE SUMMER,,1,0
Josep Maria Lucas Alcorta,,1,0
Montse Ramírez,,1,0
GABARRO,,1,0
Centro de Estudios Tesla,,1,0
Institut de Cornellà,"Av. de Sant Ildefons, 24, 08940 Cornellà de Llobregat,",2,0
"Monitors, animación y espectáculos",,1,0
Mare de Déu de la Muntanya,"Plaça de Santa Anna, 0, 08292 Esparreguera, Barcelona",2,0
Escola Aloma,"Escola Aloma, Carrer Torrent de Can Piquer, Barcelona, Spain",3,0
Colegio de Fomento Monteagudo,"Colegio de Fomento Monteagudo-Nelva, Murcia, Spain",1,0
Colegio Santa Gema Galgani,"Calle De Escalona, 59, 28024 Madrid, Spain",0,2
Colegio Alfa & Omega,"Caminal Hermita Santa Lucía, 12 03700 Denia",1,1
La Presentació de la Mare de Déu,"Avinguda Montevideo, 14, 08340 Vilassar de Mar, Barcelona",1,0
Fundación Enaire,,2,0
Elvira Cuyàs,"Escola Elvira Cuyás, Carrer Baix de Sant Pere, Montcada i Reixac, Spain",2,0
XiaoXiao Academia,,1,0
Sagrada Família Masnou,"Sagrada Familia, El Masnou, Carrer Mossèn Jacint Verdaguer, Spain",2,1
Escola Sant Ildefons,"Av. de Sant Ildefons, 24, 08940 Cornellà de Llobregat, Barcelona",1,0
Colegio de Fomento Miralvent,"Colegio de Fomento Miralvent, Betxí, Spain",1,0
Consejería de educación Castilla León,,2,0
Laude El Altillo,"LAUDE El Altillo School, Calle de Santiago de Chile, Jerez, Spain",1,1
ADD Event SL,"Avenida de Brasil, 6, Madrid, Spain",2,1
Dirección General Telecomunicaciones Junta Andalucia,,1,0
Colegio La Latina,"Colegio Bilingüe La Latina, Marbella, Spain",2,0
Antonio Trasmonte,,1,0
Polymer Char,,1,0
Liceo Francés de Málaga,,1,1
Col·legi Santo Tomás,,1,0
Eventing4u,"C/ Beltrán y Rózpide 8, bajos Bcn",2,0
Col·legi Les Alzines,"Les Alzines, Carrer Camí Vell de Fornells, Girona, Spain",2,2
Luis Rouco Hernandez,,1,0
Escola Joan Roca,"Rambla de Guipúscoa, 19, 08018 Barcelona",1,0
El Castellot,"Carrer dels Esports, 1 08732 Castellví de la Marca",1,0
Districte de Sarrià,,1,0
Escaladei,"Carrer de Sant Salvador, 8, 08290 Cerdanyola del Vallès, Barcelona",1,0
Santa Teresa de Jesús,"Carrer del Llobregós, 130, 08032 Barcelona, Spain",1,0
Fundació Dolores Sopeña (Oscus)‎,"Carrer de Violant d'Hongria Reina d'Aragó, 39, 08028 Barcelona",2,0
Colegio Santa Ana de Fraga,"Calle Hermana Andresa, Fraga, Spain",1,0
Jacint Verdaguer (Pallejà),"Carrer Ramon Llull, 1, 08780 Pallejà, Barcelona, Espanya",1,0
IES Dr Peset Aleixandre,"Av. de Vicent Mortes Alfonso, 93, 46980 Paterna, Valencian Community, Spain",1,0
Institut Mediterrània Castelldefels,"Carretera de la Sentiu, 2, 08860 Castelldefels, Barcelona, Spain",1,0
Institut La Romànica,"Plaça del Mil·lenari, 4, 08210 Barberà del Vallès, Barcelona",1,0
Col·legi Montserrat de Badalona,,1,0
Centre d'Estudis Roca,"Centre d'Estudis Roca, Barcelona, Spain",1,0
Vedruna Puigcerdà,"Vedruna, Carrer Carmelites, Puigcerdà, Spain",3,0
Col·legi Públic Lluís Vives,"Col·legi Públic Luís Vives, Plaça Andrés Piles, Cullera, Spain",1,0
Col·legi Sant Ramon Nonat - Sagrat Cor,"Calle Collblanc, 86, 08028 Barcelona",1,0
Mercè Gallego,,1,0
Escola Túrbula,"Carretera de Mataró, 26, 08930 Sant Adrià de Besòs, Barcelona, Espanya",8,0
Centre d'Estudis Monlau,"Carrer de Monlau, 6, 08027 Barcelona, Espanya",3,1
Escola Desconeguda,,1,0
Escoles Griselda SCCL,"Carrer del Parlament, 30, 08015 Barcelona, Espanya",1,1
Anoetako Herri Ikastola,,1,0
Col·legi Santíssima Trinitat Badalona,"Carrer de Santiago, 49-57, Badalona, Spain",2,0
Ekide Academia,,1,0
Escola Sant Gervasi,"Carrer de Sabadell, 41, 08100 Mollet del Vallès, Barcelona",2,0
Col·legi Sant Josep Obrer,"Carrer de Covadonga, 2, 08906 L'Hospitalet de Llobregat, Barcelona, Espanya",1,0
Sistema Led Visual,,1,0
EnFormate,,1,0
Escola Sant Bonaventura,"Plaça Franciscans 4, 08800 Vilanova i la Geltrú, Barcelona",1,0
Salesianes Sepúlveda,"Carrer de Sepúlveda, 71, 08015 Barcelona",1,0
Particular (pare),,1,0
Escola Nabí,"C/ Reis Catòlics, 38 Barcelona 08017",1,0
Institut escola Costa i Llobera,"C/ Capella de Can Caralleu, s/n, 08017 Barcelona",1,1
Sagals,"Coronista Revest, 11 12005 Castellón",1,0
Carlin Catalunya,,4,1
Angel Navarro,"General Cortijo, 17 2º 3º Vilafranca del penedes 08720",1,0
Dlleure,,1,0
Inquiet,,1,0
MEET AND MAP,,1,0
Escola Els Encants,"Carrer del Consell de Cent, 566, 08013 Barcelona, Spain",1,0
Escola Lledoner,"Carrer Rosselló, 95, 08401 Granollers, Barcelona",2,0
Escola Montserrat,"Avinguda Generalitat de Catalunya, 10, 08960 Sant Just Desvern, Barcelona, Spain",1,0
Escola Pau Picasso,"Carrer Pau Picasso, 28-32, 08917 Badalona, Barcelona, Spain",1,1
Microgalia,"Rebordelo, 15 15930 La coruña",1,0
La Immaculada,"Carrer de Robert Graves, 38, Palma de Mallorca, Spain",1,0
Teresa Palacin Buil,"Carrer del Rosselló, 426, Barcelona, Spain",1,0
Biblioteca Ignasi Iglesias- Can fabra,"Biblioteca Ignasi Iglésias–Can Fabra, Carrer del Segre, Barcelona, Spain",2,1
Escola Mare de Déu del Lledó,Av. Guillem de Montoliu s/n 43140 La Pobla de Mafumet,1,0
La Creativa,,1,0
IES Angel Sanz Briz,"Instituto de Educación Secundaria Ies Angel Sanz Briz, Avenida de la Constitución, Zaragoza, Spain",1,0
Escola Lloret,"Carrer de Sants, 99, 08014 Barcelona, Spain",1,0
ANIMUNIS,"Calle Cañadas de Alama, 36 30840 Alama de Murcia",1,1
Apa Colegio Nuestra Señora del Carmen,,2,0
CEIP Lope de Vega,"Carrer del Doctor Francisco Roselló, 25, 46900 Torrent, València",0,1
Escola Francesc Aldea i Pérez,"Carrer ďAlemanya, 146, 08228 Terrassa, Barcelona",1,0
Escola Camp Joliu,"Escuela Camp Joliu, N-340, L'Arboç, Spain",1,1
Col·legi Sant Jaume,"Avinguda Miraflores, 71 L'Hospitalet del Llobregat 08905",1,1
IESE,"IESE Business School, Carrer d'Arnús i de Garí, Barcelona, Spain",1,0
Colegio Santo Angel La Dehesa,"Avenida de los Deportes, 8, Humanes de Madrid, Spain",2,1
Salesianos Atocha,"Ronda de Atocha, 27, Madrid, Spain",0,1
EDUCAndo,"Calle del Doctor Esquerdo, 183, Madrid, Spain",1,0
Colegio Beata Maria Ana de Jesús,"Calle Guillermo de Osma, 10, Madrid, Spain",1,0
Colegio San Saturio,"Calle de Sebastián Herrera, 21, Madrid, Spain",0,1
Colegio San Viator,"Plaza de Fernandez Ladreda, 2",1,0
Robotica Cangas,,1,0
Andel Centro Educativo,"Calle Fuente Cisneros, 39, 28922 Alcorcón, Madrid, Spain",1,0
Col·legi Boix,"Carrer de Rubió i Ors, 14-16, 08915 Badalona",2,0
Gamo Diana,"Calle de Tembleque, 104, Madrid, Spain",1,0
Colegio El Caton,"Calle Ronda de Zaragoza, Torrejón de Velasco, Spain",1,0
San Pedro Apostol,"Calle Babilonia, 19, Madrid, Spain",1,0
Institut  de Pallejà,"Camí de Can Coll, 08780 Pallejà, Barcelona, Spain",1,0
Colegio Europeo Aristos,"Av. Juan Carlos I, 12, Getafe, Spain",0,1
Centro Pitágoras,,1,0
IES l'Om,"IES L'om, Picassent, Spain",2,0
Santa Teresa de Jesús (Huelva),"Av. Guatemala, s/n, 21003 Huelva",3,0
Escola Montserratina,"Carrer del Garrofer, 69, 08840 Viladecans, Barcelona",1,0
CEIP Montessori,"Escola Montessori, Carrer de Monturiol, Rubí, Spain",2,0
Animatemps,avenida alemania 37 12540 Vilareal Castellon,2,0
Colegio Santa Cruz,"Calle de Miguel Fleta, 7, Madrid, Spain",1,0
RO-BOTICA,"RO-BOTICA Robotica Educativa & Personal, Carrer de Balmes, Barcelona, Spain",1,0
Colegio Cumbre Oxford,"Calle Buendía, 50, Madrid, Spain",1,0
Centro Privado de Enseñanza San José HFI,"Carrer del Dr. Sumsi, 5, 46005 València",6,0
Escola Mestre Enric Gibert i Camins,"Carrer d'Irlanda, 15, 08030 Barcelona, Spain",3,0
Escola Virolet,"Carrer de Viena, 1, 08206 Sabadell, Barcelona",2,0
Escola Montagut,"C/ Camí de la Riera de Dalt, s/n, 08398 Santa Susanna, Barcelona",1,0
Escola Joan Coret,"Plaça Voluntaris Olímpics, 3, 08917 Badalona, Barcelona",1,0
Particular,,1,0
Escola Bertran,"Carrer Francesc Layret, 24, 08208 Sabadell, Barcelona",1,0
Escola Guillem de Mont-rodon,"Carrer de Sant Miquel Xic, 2, 08500 Vic, Barcelona, Spain",4,0
Colegio Nuevo Velázquez,"Calle Rosa Jardón, 9, 28016 Madrid, Spain",1,1
Colegio San Alfonso,"Calle del Mesón de Paredes, 78, 28012 Madrid, Spain",1,1
Escola Parellada,"Escola Parellada, Carrer Mossèn Pere Tarrés, Sant Boi de Llobregat, Spain",2,0
A Carón Gabinete de Psicología,,2,0
Gureak,,1,0
Alkimia movi,,0,1
Liceo Oroquieta,"Calle de Sáhara, 79, Madrid, Spain",1,0
Col·legi Sant Vicenç,,1,0
Colegio Urdaneta,Lauroeta etorbidea 6 48180 Loiu,1,0
Nostra Senyora del Mar,"Carrer de Sant Pere, 5, 08820 El Prat de Llobregat, Barcelona, Espanya",2,1
COL·LEGI MARE DE DÉU DE LA SALUT,"Escola Mare de Déu de la Salut (Sabadell), Carrer de Latorre, Sabadell, Spain",1,0
Sagrat Cor de Jesús - Mataró,"Carrer de la Coma, 19, 08301 Mataró, Barcelona",0,1
Col.legi Maria Auxiliadora - Salesianes Terrassa,"Carrer de Santa Maria de Mazzarello, 49, 08224 Terrassa, Barcelona",2,0
Vedruna Tàrrega,"Vedruna Tàrrega, Carrer de la Mare Vedruna, Tàrrega, Spain",3,1
Maxwell School,"Calle Serrano, 158, Madrid, Spain",0,1
Agencies de comunicació,,1,0
Escola Ponent Terrassa,"Carrer de Palet i Barba, 189, 08224 Terrassa, Barcelona, Spain",2,1
Col·legi Yglesias,"Carrer Eusebi Golart, 13, 08360 Canet de Mar, Barcelona, Spain",1,0
Colegio San Javier,,0,1
FEM Bilingual School,,0,1
Manyanet Molins de Rei,,1,0
Escola Mare de Déu dels Socós,"Col·legi Mare de Déu del Socós, Carrer d'Àngel Guimerà, Agramunt, Spain",1,0
Colegio Minerva,"Calle de Villajimena, 15, 28032 Madrid, Spain",1,0
Accrentum,,1,0
Col·legi Mater Salvatoris,"Colegio Mater Salvatoris, Lleida, Spain",1,1
Escolàpies Olesa,"Escolàpies Olesa, Carrer Mare Paula Montal, Olesa de Montserrat, Spain",2,0
Colegio Abaco,"Avenida de la Peseta, 8, Madrid, Spain",5,1
Montessori Tenerife,"Calle Emilio Calzadilla, 32, 38002 Santa Cruz de Tenerife",1,0
Sagrados Corazones Miranda de Ebro,"Centro Sagrados Corazones, Calle San Francisco, Miranda de Ebro, Spain",1,2
Colegio Divina Pastora,"Paseo Pablo Iglesias, 5, 28901 Getafe, Madrid, Spain",0,1
Colegio San Francisco,"Calle Fortaleza, 2, 28048 Madrid, Spain",0,1
Aquinas American School,"Calle Transversal 4, 4, Pozuelo de Alarcón, Spain",1,1
Colegio Las Naciones,"Avenida de Alfonso XIII, 90, 28016 Madrid, Spain",1,0
Col·legi El Carme,"El Carme, Carrer Hostal de la Bordeta, Lleida, Spain",0,1
Colegio Santo Angel British School,"Calle de Arroyo de Fontarrón, 209, 28030 Madrid, Spain",0,1
Escola Arrels Solsona,"Arrels I, Travessia de Sant Isidre, Solsona, Spain",2,0
Lestonnac Lleida,,0,1
Grupo Cognita,"Cognita, Barcelona, Spain",0,1
Enaire,,2,0
Escola Ramon Macip - Dolors Granés,"Carrer Ramon Llull, 7, 08440 Cardedeu, Barcelona, Spain",1,0
Santa María Marianistas,"Colegio De Santa María, Luis Heintz Kalea, Vitoria-Gasteiz, Spain",2,0
CEIP San Martiño,"Igrexa, 18, 36143",1,1
Institut Bisbe Sivilla,"Carrer de Valldebanador, 39, 08370 Calella, Barcelona, Spain",1,0
Col·legi Molí Nou,"Carrer Joan Maragall, 5, 08830 Sant Boi de Llobregat, Barcelona",1,1
Biblioteca de Santa Susanna,Rambla dels Països Catalans,2,0
Col·legi Sagrada Família Avinyó,"Carrer d'Avinyó, 20, 08002 Barcelona",1,0
Col·legi Jesús Maria,"Carrer Lepant, 3, 08917 Badalona | Barcelona",1,0
Colegio Nebrija Rosales,"Calle Carlos Domingo, 10, 28047 Madrid, Spain",1,0
Colegio San Juan de Ávila,"Colegio San Juan de Ávila, Calle Ramblilla Baja, Salobreña, Spain",3,0
Espacio STEM,,1,0
Creatic Academy,,1,0
Escola Guixot,"Sabadell, Spain",1,0
Centro oficial de Formación Fortaleza del Sol,,1,0
City of Languages,,1,0
Colegio Nuestra Señora de la Victoria,"Colegio Nuestra Señora de la Victoria, Calle Victoria, Málaga, Spain",0,1
Colegio Divina Pastora Málaga,"Colegio Divina Pastora, Plaza Capuchinos, Málaga, Spain",0,1
Talento corporativo,,1,0
Mercat Galvany,"Carrer de Santaló, Barcelona, Spain",1,0
Colegio León XIII,"Calle Fernández Shaw, 88, 29018 Málaga, Spain",0,1
Colegio Maravillas,"Colegio Maravillas, Benalmádena, Spain",1,0
Iluvatar,,1,0
Hijas de Cristo Rey Benifaió,"Calle San Vicente, 7, Benifaió, Spain",0,1
Colegio Santa Faz,"Carrer Dr. Trueta, 5-7, Sant Vicent del Raspeig, Spain",0,1
Colegio Santa Helena,"Calle del Camino Ancho, 12, Alcobendas, Spain",0,1
Colegio Lourdes Coín,"C D P Nuestra Señora De Lourdes, Coín, Spain",0,1
Sagrado Corazón Málaga,"Sacred Heart School ""The Slaves"", Calle Liborio García, Málaga, Spain",1,0
MIT - Malaga Institute of Technology,,0,1
Colegio San Juan de Dios,"Colegio San Juan de Dios, Málaga, Spain",1,0
San José de Calasanz,"Calle del Hospital Bajo, 11, Santurce, Vizcaya",0,1
Colegio Doña Vicenta Ruso,Avd. Noruega s/n 03130 Sta. Pola Alicante,1,1
La Salle Benicarló,"Carrer del Doctor Ferrer, 33, 12580 Benicarló, Castelló",0,1
Runnymede college,"Calle de la Salvia, 30, Alcobendas, Spain",1,0
Vedruna Sagrat Cor Tarragona,"Carrer de Santa Joaquima de Vedruna, 10, 43002 Tarragona",0,1
Escola Joan XXIII,C/ Catorze s/n. – 43100 TARRAGONA,1,0
Pare Manyanet Reus,"Carrer del Pare Manyanet, 25, 43205 Reus, Tarragona",1,0
Col·legi Sagrat Cor Amposta,"Carrer Germana Teresa Mira, 43870 Amposta, Tarragona",1,0
Eix Estels,,1,0
Escola Nostra Senyora de Lurdes,"Via Augusta, 73-75, 08006 Barcelona, Spain",0,2
Deportae,,1,0
Arm Robotics Institute,,1,0
Bastida Ikastola,"Diputazio etorbidea, 25 01330 Bastida (Araba)",2,0
Col·legi Sant Domènec de Guzman,"Carrer d'Antoni Rovira i Virgili, 16, 43002 Tarragona",1,1
Colegio Santo Angel de la Guarda,"Calle Alcalá, 587, Madrid, Spain",1,0
Colegio Addis,"Calle Vieja de Pinto, 15, Madrid, Spain",1,0
Col·legi Vedruna Mare de Déu del Lledó,"Carrer Santa Joaquina Vedruna, 2, 43800 Valls, Tarragona",0,1
GMX,,1,0
C.E. PR. Virgen de la Cabeza,"C/ San Ramón s/n	Churriana de la Vega	Granada	18194	España",1,0
La Salle Torreforta,"Carrer S Benilde, 15, 43006 Tarragona, Spain",1,0
Aprenditeka,"Aprenditeka, Getxo, Spain",4,2
Colegio Mirasierra,"Calle de Ascao, 33, Madrid, Spain",1,0
Centro Recursos Educativos Antonio Vicente Mosquete,"Avenida del Doctor García Tapia, 210, Madrid, Spain",0,1
Charles Darwin,"Av. del Pare Andreu de Palma, 30, 08820 El Prat de Llobregat, Barcelona",1,0
Col·legi Claret (Valls),"Plaça de la Creu, 1 43800 Valls",1,1
Laudio Ikastola,"Motxotekale Bidea, 16, 01400 Laudio, Araba",2,0
Col·legi Santa Teresa,"Carrer de Santa Madrona, 89, 43740 Móra d'Ebre, T",1,1
Mantenimientos Diagnósticos por Imagen,,1,0
Colegio Brains María Lombillo,"Calle María Lombillo, 5, Madrid, Spain",0,1
Sagrada Familia Sigüenza,"José de Villaviciosa, 2, Sigüenza",1,0
Colegio Europeo Almazán,"Calle de Mesena, 101, Madrid, Spain",0,1
Colegio Compañía de María Jerez,"Compañía de María, Jerez, Spain",1,0
Fundación Tomillo,Madrid,1,0
Colegio Urkide,"Magdalena Kalea, 8, 01008 Vitoria-Gasteiz, Araba",1,0
Madre Josefa Campos,"Colegio Madre Josefa Campos, Carrer Miguel Hernández, Alaquàs, Spain",1,0
Peleteiro,"Lugar do Monte Redondo, s/n, 15702 Santiago de Compostela, A Coruña",1,1
CFIE Valladolid,"CFIE de Valladolid, Calle del Soto, Valladolid, Spain",2,0
Ministerio de Educación,"Ministerio De Educacion Madrid, Calle de Alfonso XII, Madrid, Spain",1,0
Comunidad de Madrid,"Comunidad de Madrid, Spain",1,0
Fundación DISA,"Calle Párroco Villar Reina, 1, 35011 Las Palmas de Gran Canaria, Spain",2,0
Funtech Academy,Leganés,0,1
La Salle Alcora,"L'Alcora, Castellón",1,0
CEIP N. Sra del Castillo,"Calle Ctra. de Morata, 7, Perales de Tajuña, Spain",0,1
Ludoteca,,0,1
IES Ezequiel González,"Plaza del Salvador, 1, Segovia, Spain",1,0
Comunidad de profesores,,0,1
Alzinia,,0,1
La hora del Código,,0,1
Bitlan,,2,0
CEIP San Pedro Alcántara,"C.E.I.P. San Pedro de Alcántara, Calle José Lanot, Badajoz, Spain",1,0
UAM,,1,3
Liceo SC,"Colegio Liceo Sagrado Corazón, Calle Real, San Fernando, Spain",1,0
Manuela Malasaña,"Calle de los Arados, 10, Fuenlabrada, Madrid, Spain",1,0
IES Eduardo Primo Marqués,"Instituto de Educación Secundaria Ies Eduardo Primo Marqués, Carrer de la Corbella, Carlet, Spain",1,0
Colegio Huerta Santa Ana,"Ginés, Sevilla",1,0
Particular Autista,,1,0
IES Jaume I Borriana,"IES Jaume I, Plaça Manuel Sanchis Guarner, Borriana, Spain",1,0
Sant Antoni Abat,"Col·legi Sant Antoni Abat, Carrer de Sant Joan de la Creu, Son Ferriol, Spain",1,0
Colegio La Purísima Alzira,"Colegio Concertado La Purísima, Carrer Rambla, Alzira, Spain",1,0
Colegio Arula,"Calle de Alcalá, 23, Alalpardo, Madrid, Spain",0,1
"Deutsche Schule San Alberto Magno, Donostia","Deutsche Schule San Alberto Magno, Oriamendi Pasealekua, San Sebastián, Spain",1,0
Colegio El Cid,"Calle del Lago Leman, 5, Madrid, Spain",0,1
CEIP Les Vessanes,"Denia, Alicante",1,0
Nazaret Oporto,Madrid,0,2
El Pinar Málaga,"Colegio El Pinar, Camino de la Acequia, Alhaurín de la Torre, Málaga, Spain",1,0
CEPA Abril,Badajoz,0,1
CP El Cotayo,"Colegio Público El Cotayo, Carbayin Alto, Asturias Spain",1,0
Particular Connecta,,0,1
Colegio San Isidro,"San Isidro Primary School, Calle de los Cuarteles, Aranjuez, Spain",0,1
Real Academia de la Ingeniería,"Real Academia de Ingeniería, Calle Don Pedro, Madrid, Spain",1,0
Colegio Divina Pastora Vallecas,Madrid,1,0
Vistalegre,Madrid,0,1
Pintor Sorolla,"Col·legi Públic Pintor Sorolla, Avenida de Ronda, Elda, Spain",1,0
Valentina Moreno,,1,0
Sant Josep Obrer,"Sant josep obrer, Passatge de Can Feixina, Palma, Spain",1,0
CEIP Seis de Diciembre Colmenarejo,"Calle Madrid, Colmenarejo, Spain",0,1
Attendis Monaita,"Monaita, Granada",0,1
Attendis Puertoblanco,Algeciras,0,1
EFA La Malvesía,"Llombai, Valencia",1,0
EFA Torrealedua,"Llombai, Valencia",1,0
Macrosad,"Parque Científico y Tecnológico, GEOLIT, Av. de la Innovación, 3, 23620 Mengíbar, Jaén",0,1
OMNIA,Barcelona,1,0
Salmantín,,1,0
Jose Pedro Martínes Particular,,1,0
Sportmadness,,0,1
Espai crea Network,Mallorca,1,0
Sumosa,Arganda del Rey,0,1
IES Antonio de Mendoza,Alcalá La Real Jaén,1,0
Jesús María Villafranqueza,"C/ Camino de las Parras, 5 03112 Villafranqueza-Alicante.",1,0
Ies Vandelvira,"Instituto de Educación Secundaria Andrés de Vandelvira, Avenida Cronista Mateos y Sotos, Albacete, Spain",1,0
EnergitecSoluciones tecnológicas,"Torremolinos, Málaga",1,0
Asociación Amapamu,,1,0
Attendis Guadalete,"Puerto de Santa María, Cádiz",0,1
Attendis Mulhacén,"N-432, km 0,5 Carretera de Gr- Pinos, Puente Córdoba, 10, Granada",0,1
Fundación Trilema,,0,1
Volvo,,1,0
Colegio Calasanz,"Calle Santiago, 29, Alcala de Henares, Spain",1,1
IES Ichasagua,"IES Ichasagua, Calle Laderas del Espejo, Los Cristianos, Spain",1,0
ITAC Solutions,Madrid,0,1
Santa María de los Pinos,"Calle Sta. Cruz de Retamar, 14, 28018 Madrid, Spain",1,0
Sandra Morán Particular,,1,0
CEP Las palmas de GC,"Calle Padre Pedro Sanz Sainz, 60, Las Palmas de Gran Canaria, Spain",1,0
Ibayber Informatica,,0,1
Nova Educatio,Asturias,0,1
Sercaman,Toledo,1,0
IES Antonio de nebrija,Madrid,0,1
Gobierno de Aragón,,0,1
Micron Formación,,1,0
Kidekom,Madrid,1,0
Innovamat / Brain Art,Barcelona,1,0
ITEDICAM,Toledo,0,1
Techmakers academia,,2,1
Biblioteca IE,Madrid,0,1
SEK Ecuador,Ecuador,0,1
TbKids,Sant Cugat,0,1
CTELL,Paraguay,1,0
Consejería Educación Madrid,Madrid,0,1
Cloudalia,Mollet,1,0
Reprocopy shop,Palma de Mallorca,0,1
Juan Sola,Murcia,1,0
TAME Centro de formación profesional,"Avinguda Gregorio Gea, 61, 46920 València, Spain",0,2
Centro de innovación y formación Educativa,Logroño,0,1
Future Funded,Barcelona,1,0
Omnitel,Madrid,1,0
Didáctica Leonesa,León,0,1
Blueglobe Media,Barcelona,1,0
Escola Vicente Ferrer,"Escola Pública Vicente Ferrer, Carrer de Salvador Aulestia Barriach, Sant Boi de Llobregat, Spain",1,0
Colegio Santa Elena,"Calle de Luis de Requesens, 12, Villarejo de Salvanés, Spain",1,0
IES Arca Real,"Calle Gral. Shelly, 1, Valladolid, Spain",1,0
CEIP Mozart,"Calle Dámaso Alonso, 34, Alcala de Henares, Spain",0,1
Roche,,3,1
FAPAC,,1,0
Federació de Moviments de Renovació Pedagògica de Catalunya,,1,0
Federació de Cooperatives d'Ensenyament a Catalunya,"C/ Premia, 15 planta 1a. 08014-Barcelona",1,0
Federació Catalana de Centres d'Ensenyament,"Carrer de la Diputació, 331, 08009 Barcelona, Spain",1,2
Federació Escoles Parroquials,"Carrer de Balmes, 78, 08007 Barcelona, Spain",1,0
Confederació Cristiana d'Associacions de Pares i Mares d'Alumnes de Catalunya,"Àngels, 18, 6a | 08001 BARCELONA",1,0
Agrupació Escolar Catalana,"Carrer de la Riera de Sant Miquel, 68, 08006 Barcelona, Spain",1,0
Escola Santa Creu,"Avinguda Catalunya, 28 25320 Anglesola, Lleida",1,1
Escola Can Besora,"Carrer de Sabadell, 45, 08100 Mollet del Vallès, Barcelona, Spain",1,0
Institut Escola Jacint Verdaguer,"Carrer Gelida, 0, 08770 Sant Sadurní d'Anoia, Barcelona",1,0
Practicas aneja la laguna,"Calle Heraclio Sánchez, 37, San Cristóbal de La Laguna, Spain",0,1
Colegio Privado Marpe Altavista,"Calle Valle Inclán, 4, Las Palmas de Gran Canaria, Spain",0,1
Colegio Dulce Nombre de Jesús,"Calle de Agustín Durán, 20, Madrid, Spain",1,0
Instituto Saudi de Madrid,"Avenida Ahones, 11, Madrid, Spain",1,1
Escola Josep maria Folch i Torres,"Carrer de Folch i Torres, 26-30, 08184 Palau-solità i Plegamans, Barcelona",1,0
Escola Mestre Ignasi Peraire Mollerussa,"Av. Pau Casals, 0, 25230 Mollerussa, Lleida",1,0
Escola Pau Vila i Dinarés,"Avinguda de Can Jofresa, 20, 08223 Terrassa, Barcelona",1,0
Col·legi Singuerlín,"Carrer Santiago Rusiñol, 42, 08924 Santa Coloma de Gramenet, Barcelona",1,1
Sant Pere Nolasc,"c. Guardiola i Feliu, 7-9 08030 Barcelona",1,0
Asociación Educativa Robótica Valle de Güímar,,1,0
Colegio público Virgen del Rosario,"Av. de la Magdalena, s/n, 46130 Masamagrell, Valencia",1,0
NetBrain,,1,0
Mare Creaciones,,1,0
IES Guadarrama,"Calle de los Escoriales, 9A, Guadarrama, Spain",0,1
IES Mollet,"IES de Mollet del Vallès, Avinguda de Burgos, Mollet del Vallès, Spain",1,0
UNION CHRÉTIENNE DE ST. CHAUMOND,"Calle Rodríguez Marín, 30 - 32, Madrid, Spain",1,0
Singular Electronics,,1,0
Escola Les Escomes,"Escola Les Escomes, Sant Jaume de Llierca, Spain",1,0
Colegio SJE,"Calle Valle del Jerte, 2, Torrejón de Ardoz, Spain",1,1
Ayuntamiento de Coruña,"Ayuntamiento de A Coruña, Praza de María Pita, Coruña, Spain",1,0
Ludicco,,1,0
KPMG,,1,0
Cultura Pràctica,"c. Sant Pere, 36 08221 Terrassa",2,0
El Dragón International School,"Calle Monterrey, 6, Torrelodones, Spain",0,1
Colegio Obispo Perello,"Calle Virgen del Sagrario, 22, Madrid, Spain",0,2
Escola Pia Sarrià,"Escola Pia de Sarrià, Carrer de la Immaculada, Barcelona, Spain",0,1
ICE Universidad Politécnica de Madrid,"Calle Profesor Aranguren, 3, Madrid, Spain",1,0
Escola Brasil,"Escola Brasil, Gran Via de les Corts Catalanes, Barcelona, Spain",1,0
Particular,,1,0
CEIP Francisco Rodríguez Perera,"El Parque, s/n, Villanueva del Fresno, Badajoz",1,0
IES Las Lagunas,"Avenida de Gabriel García Márquez, Rivas-Vaciamadrid, Spain",1,0
FUNDACIÓ JESUÏTES EDUCACIÓ - GRÀCIA,"Jesuïtes Gràcia. Col·legi Kostka, Barcelona, Spain",1,0
Escola Pia Tàrrega,"Plaça Pare Carles Perelló 1, 25300 Tàrrega, Lleida",2,0
2T Psicologia,,1,0
Despierta,"C/Feria, 121, Entreplanta (Edificio Ártico)  – 02004 Albacete",1,0
Escola Nadís (Sagrat Cor Sarrià),"Escola Sagrat Cor - Nadís, Carrer de Ràfols, Barcelona, Spain",1,0
