Organization,Address,Closed deals,Open deals
FPEVB - JOAQUIMA VEDRUNA TERRASSA,"CARRETERA CASTELLAR 398, TERRASSA",1,1
BIHOTZ GAZTEA IKASTOLA,"GRUPO SAN JUAN DE DIOS S/N, SANTURZI",1,1
ALCORAC S.L.,"CAMINO DE LAS MANTECAS 26 (EL CHARCÓN), SAN CRISTÓBAL DE LA LAGUNA",2,0
ROBOTIX Madrid GRUPO AULA JOVEN SL,"CALLE EUGENIO SALAZAR, 53, MADRID",10,1
INTERNATIONAL SCHOOL PEÑISCOLA SL,"CAMÍ PEÑÍSCOLA KM3, PEÑÍSCOLA",1,0
ESCOLA VEDRUNA BERGA,"CARRER CERVANTES 34, BERGA",0,1
IES CANARIAS CABRERA PINTO,"C/ SAN AGUSTIN, 48, LA LAGUNA",1,0
COLEGIO CASA AZUL,"C/ CASA AZUL, 1, LA OROTAVA",3,0
CASA JESUS-MARIA,"PASSEIG SANT GERVASI, 15, BARCELONA",2,1
Watsons Lab House,"Watson's Lab House.c/ Sto. Domingo 9 bjo.S1, JEREZ DE LA FRONTERA",5,0
VIROLAI E.M.S.A,"CALLE CEUTA S/N, BARCELONA",0,1
A. P. PARVULARI MAGNOLIA,"CARRER EMILI ROCA 54, BARCELONA",1,0
"CENTRO CULTURAL PINEDA, S.A","CARRER DELS JONCS 1, HOSPITALET DE LLOBREGAT",1,1
COL·LEGI MARIA AUXILIADORA,"CARRER SEPULVEDA, 71, BARCELONA",1,1
FEDAC SANT FELIU,"BAIXA PADRÓ 12, SANT FELIU DE CODINES",2,0
"ROBOTIX Ceuta INSTITUTO CLINICO BRAIN, SLU","C/ DELGADO SERRANO, 1 PL. 5ª C, CEUTA",7,2
CENTRO DE ENSEÑANZA RIVAS LUNA,"C/ DEL PINTOR EUSTAQUIO SEGRELLES, 7, ELIANA",2,1
FEDAC GIRONELLA,"C/ SANT JOAN BAPTISTA DE LA SALLE, 2, GIRONELLA",0,1
CP Mediterráneo,"Colegio Público Mediterráneo, Pilar de la Horadada, Spain",1,0
ESCOLA ENXANETA,"C/ SOMETENT CASTELLA, 169, TERRASSA",1,1
Edukem-nos,"Edukem Nos S.c.p., Avinguda Montevideo, Vilassar de Mar, Spain",3,0
SANT GABRIEL,"GRAN VIA DE LES CORTS CATALANES 1196, BARCELONA",0,1
CLAPERS DE DIEGO,"CARRER TAVERN 11 ENTLO. 1A, BARCELONA",1,0
FUNDACIO JESUÏTES EDUCACIO - SANT GERVASI,CARRER DE L'AVENIR 19,8,2
COL·LEGI MARE DE DEU DEL CARME,"VOLUNTARIS OLIMPICS, 54, TERRASSA",0,2
COLEGIO BRAINS,"C/ MARIA LOMBILLO, 5, MADRID",1,0
FEM La Mercè Sant Feliu,"Col•legi Mare de Déu de la Mercè, Carrer de la Verge de la Mercè, Sant Feliu de Llobregat, Spain",4,1
AMPA COL·LEGI VEDRUNA,"VALL, 21, TERRASSA",1,0
INS LLUIS DOMENECH I MONTANER,"FRANCESC CAMBO, 2, CANET DE MAR",1,1
SEK ALBORAN S.L,"C/ BARLOVENTO, S/N URB. ALMERIMAR, EL EJIDO",3,0
ESCOLA HORITZÓ FUNPIPE,"PASSEIG DE LA BONANOVA, 7, BARCELONA",2,0
Galegory Beside Solutions,"Galegory, Carrer de Muntaner, Barcelona, Spain",27,1
ESCOLA VEDRUNA SALLENT FPE VEDRUNA BARCELONA,"CARRER JOAQUIMA DE VEDRUNA 2, SALLENT",2,1
INSTITUT JOAN MIRÓ,"AVINGUDA MONTSERRAT S/N, CORNELLÀ DE LLOBREGAT",2,0
COLEGIO DE FOMENTO MONTECASTELO,"Dr. PAZ PARDO, 84, VIGO",2,1
Col·legi Viaró,"Colegio Viaró, Sant Cugat del Vallès, Spain",1,1
ROBOTIX La Rioja MECARAPID LA RIOJA,"C/ MARCELO CELAYETA, 75- PL. 1- PASILLO B- LOCAL 38, PAMPLONA",6,1
INSTITUT CAN JOFRESA,"AVINGUDA DE CAN JOFRESA, 12, TERRASSA",1,0
Microlog Tecnología y sistemas,"MICROLOG TECHNOLOGY AND SYSTEMS, S.L., Calle Andrés Obispo, Madrid, Spain",19,1
ESCOLA MAS RAMPINYO,"CARRER JOAN MIRÓ 13-15, MONTCADA I REIXAC",1,0
ESCOLA VEDRUNA CARME CARDONA,"CARRER MARE DE DÉU DEL CARME, 1, CARDONA",3,0
ST. PETER'S SCHOOL,"CARRER EDUARD TOLDRÀ 18, BARCELONA",1,1
NICDO SL,"PLAZA BALUARTE, S/N, PAMPLONA",1,0
ASSOCIACIÓ DE PARES D'ALUMNES DE L'INSTITUT DE BATXILLERAT ARNAU CADELL,"AVINGUDA VILLADELPRAT 91-93, SANT CUGAT DEL VALLÈS",1,2
FUND. D'ESCOLES DIOCESANES I PARROQUIALS DEL BISBAT DE TERRASSA (ESCOLA LA SALUT),"CARRER VINYALS 47-49, TERRASSA",0,1
Vedruna Tordera,"SANTA LLUCIA 5, TORDERA",0,1
VEDRUNA MARE DE DÉU DEL CARME,"CARRER DE LA MERCÈ 17, SANTA COLOMA DE QUERALT",0,1
IES JOSE LUIS SAMPEDRO,"AVENIDA DE LA VEGA, S/N, TRES CANTOS",1,1
"PARC D'ATRACCIONS DEL TIBIDABO, S.A.U.","PLAÇA TIBIDABO 3, BARCELONA",5,0
