FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Factura),Unidades,BASEMONEDA,CENTROCOSTE,CENTROCOSTE2,CENTROCOSTE3,Nom Cost Center,Nom Project
5/22/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",721,10.00 ,420,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
7/11/2018,705001,SERVICIOS PRESTADOS,11,BELL-LLOC DEL PLA,1034,(1.00),-1690.05,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,0000,Codi descompte material LE,11,BELL-LLOC DEL PLA,1034,(1.00),-1500,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,9689,Simple Machines Set,11,BELL-LLOC DEL PLA,1034,(30.00),0,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,2000707,LE Replacement Pack Rubber Bands,11,BELL-LLOC DEL PLA,1034,(5.00),0,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,2000708,LE Replacement Pack M&M 1,11,BELL-LLOC DEL PLA,1034,(5.00),0,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,2000709,LE Replacement Pack M&M 2,11,BELL-LLOC DEL PLA,1034,(5.00),0,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,9998,Garantía anual - No question,11,BELL-LLOC DEL PLA,1034,(1.00),-75,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,705001,SERVICIOS PRESTADOS,11,BELL-LLOC DEL PLA,1035,1.00 ,1690,14,141,14120,MATERIALS I SERVEIS A ESCOLES I EMPRESES,SERVEIS DE FORMACIÓ LE PER ESCOLA I EMPRESA
7/11/2018,9998,Garantía anual - No question,11,BELL-LLOC DEL PLA,1036,1.00 ,75,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,9999,Codi creació de packs,11,BELL-LLOC DEL PLA,1036,1.00 ,1500,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,9689,Simple Machines Set,11,BELL-LLOC DEL PLA,1036,30.00 ,0,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,2000707,LE Replacement Pack Rubber Bands,11,BELL-LLOC DEL PLA,1036,5.00 ,0,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,2000708,LE Replacement Pack M&M 1,11,BELL-LLOC DEL PLA,1036,5.00 ,0,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
7/11/2018,2000709,LE Replacement Pack M&M 2,11,BELL-LLOC DEL PLA,1036,5.00 ,0,14,141,14110,MATERIALS I SERVEIS A ESCOLES I EMPRESES,MAT. EDUC. LE PER ESCOLES
6/22/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",898,10.00 ,420,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
1/26/2018,705227,Formación ROBOTIX 3 CM (1H),12,"ESTUDIO AGORA, S.A.",95,13.00 ,546,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
