FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Factura),Unidades,BASEMONEDA,CENTROCOSTE3
1/26/2018,705223,Formación ROBOTIX 1 CM (1H),4,FUNDACIÓ MARISTES CHAMPAGNAT,92,5.00,230,14002
6/22/2018,705230,Formación ROBOTIX 4 CM (1.5H),3,ESCOLA GUINARDO S.C.C.L.,894,13.00,715,14002
6/22/2018,705225,Formación ROBOTIX 2 CM (1H),3,ESCOLA GUINARDO S.C.C.L.,894,9.00,378,14002
6/22/2018,705221,Formación ROBOTIX INFANTIL CM (1H),3,ESCOLA GUINARDO S.C.C.L.,894,5.00,210,14002
12/28/2018,705242,Formación ROBOTIX 6 CM (2H),6,AMPA SAGRADA FAMILIA DE SABADELL,2085,6.00,390,14002
12/28/2018,705238,Formación ROBOTIX 5 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,2085,2.00,84,14002
12/28/2018,705238,Formación ROBOTIX 5 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,2085,5.00,210,14002
11/27/2018,705242,Formación ROBOTIX 6 CM (2H),6,AMPA SAGRADA FAMILIA DE SABADELL,1787,4.00,260,14002
11/27/2018,705238,Formación ROBOTIX 5 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,1787,6.00,252,14002
11/27/2018,705236,Formación ROBOTIX 4 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,1787,8.00,336,14002
11/27/2018,705225,Formación ROBOTIX 2 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,1787,17.00,714,14002
11/27/2018,705220,Inscripción ROBOTIX CM,6,AMPA SAGRADA FAMILIA DE SABADELL,1787,2.00,50,14002
10/29/2018,705236,Formación ROBOTIX 4 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,1610,-1.00,-42,14002
6/22/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,897,13.00,754,14002
6/22/2018,705224,Formación ROBOTIX 1 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,897,12.00,732,14002
6/22/2018,705228,Formación ROBOTIX 3 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,897,7.00,455,14002
10/29/2018,705220,Inscripción ROBOTIX CM,6,AMPA SAGRADA FAMILIA DE SABADELL,1610,-1.00,-25,14002
2/27/2018,705205,Inscripción ROBOTIX Infantil,7,THE BRITISH SCHOOL BARCELONA,260,1.00,30,14002
2/27/2018,705220,Inscripción ROBOTIX CM,7,THE BRITISH SCHOOL BARCELONA,260,1.00,30,14002
2/27/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,260,10.00,580,14002
2/27/2018,705224,Formación ROBOTIX 1 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,260,17.00,1037,14002
2/27/2018,705228,Formación ROBOTIX 3 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,260,6.00,390,14002
3/23/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,402,10.00,580,14002
3/23/2018,705224,Formación ROBOTIX 1 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,402,16.00,976,14002
3/23/2018,705228,Formación ROBOTIX 3 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,402,6.00,390,14002
4/23/2018,705228,Formación ROBOTIX 3 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,579,7.00,455,14002
12/28/2018,705236,Formación ROBOTIX 4 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,2085,8.00,336,14002
12/28/2018,705225,Formación ROBOTIX 2 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,2085,17.00,714,14002
12/28/2018,705220,Inscripción ROBOTIX CM,6,AMPA SAGRADA FAMILIA DE SABADELL,2085,1.00,25,14002
4/23/2018,705223,Formación ROBOTIX 1 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,578,12.00,504,14002
4/23/2018,705227,Formación ROBOTIX 3 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,578,9.00,378,14002
4/23/2018,705229,Formación ROBOTIX 4 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,578,7.00,455,14002
