FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Oferta),BASEMONEDA (importe),Unidades,CENTROCOSTE3
11/7/2018,0,Artículo,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,95.91,1.00,14110
11/7/2018,0,Artículo,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,263.64,1.00,14110
11/7/2018,0,Artículo,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,53.64,1.00,14110
11/7/2018,0,Artículo,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,74.38,1.00,14110
11/7/2018,0,Artículo,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,39.66,2.00,14110
11/7/2018,0,Artículo,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,61.98,1.00,14110
11/7/2018,628004,GASTOS DE ENVIO,493,DIRECCIÓ DE SERVEIS A LES PERSONES I AL TERRITORI DEL DISTRICTE DE LES CORTS,1454,20.97,1.00,14110
7/10/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,513,COLEGIO CASA AZUL,723,"1,479.96",4.00,14110
7/10/2018,45560,LEGO® MINDSTORMS® Education EV3 Expansio,513,COLEGIO CASA AZUL,725,435.96,4.00,14110
11/26/2018,45517,Transformer 10V DC,623,FUNDACIÓ PRIVADA TR@MS,1550,25.00,1.00,14110
11/26/2018,45302,Smarthub Rechargeable Battery,623,FUNDACIÓ PRIVADA TR@MS,1550,44.86,1.00,14110
11/26/2018,45300,LEGO® Education WeDo 2.0 Core Set,623,FUNDACIÓ PRIVADA TR@MS,1550,129.88,1.00,14110
11/26/2018,628004,GASTOS DE ENVIO,623,FUNDACIÓ PRIVADA TR@MS,1550,5.37,1.00,14110
10/30/2018,45506,EV3 Color Sensor,624,UNIO CENTRES PRIVATS S.L.,1405,37.99,1.00,14110
10/30/2018,45505,EV3 Gyro Sensor,624,UNIO CENTRES PRIVATS S.L.,1405,37.99,1.00,14110
10/30/2018,45501,EV3 Rechargeable DC Battery,624,UNIO CENTRES PRIVATS S.L.,1405,84.99,1.00,14110
11/12/2018,45003,LEGO® Soft Brick Set,696,FUNDACIÓ BETÀNIAPATMOS,1464,528.99,1.00,14110
1/29/2018,45300,LEGO® Education WeDo 2.0 Core Set,710,ESCOLA MARIA ANNA MOGAS,135,"1,479.90",10.00,14110
1/15/2018,9689,Simple Machines Set,676,SANTA MARIA DELS APÒSTOLS,50,159.21,3.00,14110
7/19/2018,1LA45544ONL,Certificación Básica LEGO MINDSTORMS Education EV3,710,ESCOLA MARIA ANNA MOGAS,757,150.00,1.00,14120
7/9/2018,45300,LEGO® Education WeDo 2.0 Core Set,741,ESCOLA JOAQUIM BLUME,715,"1,429.80",10.00,14110
3/5/2018,45570,EV3 Space Challenge Set,746,COLEGIO PÚBLICO ATALAYA DE ATARFE,257,195.95,1.00,14110
10/23/2018,628004,GASTOS DE ENVIO,754,AYUNTAMIENTO DE LA LAGUNA (CONCEJALÍA DE EDUCACIÓN),1348,743.05,1.00,14110
11/9/2018,628004,GASTOS DE ENVIO,754,AYUNTAMIENTO DE LA LAGUNA (CONCEJALÍA DE EDUCACIÓN),1459,743.05,1.00,14110
9/19/2018,628004,GASTOS DE ENVIO,760,LYCÉE FRANÇAIS DE TENERIFE JULES VERNE,1074,32.00,1.00,14110
