CodigoEducateca,Lat,Lon
282434,40.3979467,-3.6938232
282435,40.3975655,-3.7020191
282436,40.395523,-3.754361
282437,40.3963247,-3.7476457
282440,40.433202,-3.639432
282441,40.3909928,-3.744473299999999
282442,40.3892402,-3.7538475
282444,40.4038025,-3.7462795
282445,40.395026,-3.7552837
282447,40.3944116,-3.7388194
282448,40.5317654,-3.779376399999999
282450,40.5063229,-3.6544098
282451,40.5205981,-3.6534241
282454,40.4280595,-3.6793577
282456,40.4401805,-3.6724576
282457,40.4425277,-3.6771004
282458,40.44675,-3.684244399999999
282459,40.446798,-3.687209
282460,40.444031,-3.702385
282461,40.4449554,-3.704425899999999
282463,40.441151,-3.711934
282467,40.412687,-3.711443999999999
282470,40.4075981,-3.6731247
282471,40.4080677,-3.6681863
282473,40.4267598,-3.7154723
282474,40.4310357,-3.7222179
282475,40.4456803,-3.6141243
282476,40.4213473,-3.6695346
282477,40.40667759999999,-3.6353687
282480,40.4121844,-3.7303988
282483,40.4096348,-3.6965713
282484,40.4707861,-3.6592345
282485,40.4719328,-3.6682212
282487,40.4830842,-3.7076437
282488,40.4842565,-3.7139612
282489,40.4637637,-3.6858228
282491,40.462944,-3.6840522
282492,40.4692373,-3.6791558
282493,40.4574355,-3.6847436
282497,40.4086801,-3.6992935
282520,40.4071162,-3.6485219
282532,40.4096441,-3.6136084
282539,40.4853123,-3.7128785
282559,40.39905030000001,-3.7000098
282571,40.4511151,-3.6682196
282572,40.4447497,-3.679102899999999
282574,40.4401118,-3.7111264
282575,40.4466198,-3.7030959
282576,40.4389931,-3.709093899999999
282577,40.4266197,-3.6996624
282578,40.4269628,-3.7045317
282579,40.4065365,-3.7059452
282580,40.4057165,-3.714701899999999
282581,40.4048993,-3.7038938
282582,40.4103431,-3.720266
282583,40.4112638,-3.7113454
282584,40.4024502,-3.7033555
282585,40.4129055,-3.7122108
282586,40.4062173,-3.7067237
282587,40.4012221,-3.7163081
282588,40.4121019,-3.7139832
282589,40.4336458,-3.6799508
282590,40.4395856,-3.6815183
282591,40.4422742,-3.6860906
282592,40.41523979999999,-3.6658143
282593,40.4047403,-3.6793199
282594,40.4009128,-3.673692999999999
282597,40.4266522,-3.7274043
282598,40.4288285,-3.7338685
282599,40.4251443,-3.715107
282600,40.4144339,-3.6746944
282601,40.419023,-3.677866
282602,40.4382351,-3.7023631
282603,40.421432,-3.753666299999999
282605,40.4110597,-3.723954
282606,40.411054,-3.7277299
282607,40.4056415,-3.7383774
282609,40.4114867,-3.7012985
282611,40.4107528,-3.692956
282613,40.4340989,-3.7093224
282614,40.3393106,-3.7480369
282616,40.437373,-3.7053266
282617,40.4654284,-3.6690495
282618,40.4642477,-3.6691158
282619,40.4595173,-3.679678
282622,40.423852,-3.6493425
282624,40.4282536,-3.6534215
282625,40.419987,-3.6529083
282626,40.3897489,-3.6641607
282629,40.3874351,-3.6629105
282631,40.351901,-3.6861826
282632,40.3430025,-3.6870299
282634,40.350253,-3.706242999999999
282635,40.3462387,-3.708863599999999
282636,40.35236820000001,-3.6774532
282637,40.34646,-3.705979999999999
282638,40.3447025,-3.686072299999999
282640,40.339702,-3.6895756
282641,40.3494104,-3.6983389
282642,40.34116770000001,-3.6849013
282643,40.3434903,-3.7118445
282644,40.3468756,-3.7031847
282645,40.4326486,-3.6120847
282646,40.4470812,-3.5980499
282648,40.4306195,-3.608961099999999
282649,40.4487607,-3.6151361
282659,40.4480096,-3.8053327
282664,40.45474400000001,-3.6152301
282667,40.4562716,-3.6310109
282668,40.4597193,-3.6503827
282672,40.3795311,-3.6684689
282673,40.380089,-3.6735388
282674,40.3733964,-3.6654656
282675,40.3879088,-3.6707533
282677,40.3861704,-3.6572017
282678,40.38178500000001,-3.675022
282679,40.3752647,-3.6617303
282680,40.37976,-3.65681
282682,40.3771049,-3.671179599999999
282683,40.3791994,-3.6608531
282687,40.3975884,-3.7149922
282688,40.3890026,-4.2492299
282689,40.3945961,-3.7232781
282690,40.3889824,-3.7369444
282691,40.38793,-3.7253222
282692,40.38793,-3.7253222
282693,40.4525812,-3.7029104
282694,40.4617079,-3.6941772
282696,40.3839161,-3.7789674
282697,40.3951667,-3.761107
282698,40.3939933,-3.7790796
282699,40.3985942,-3.768791799999999
282702,40.3887726,-3.7625976
282703,40.3909143,-3.7610132
282706,40.3848263,-3.7255615
282707,40.3808672,-3.7427954
282709,40.3828065,-3.7254396
282710,40.386303,-3.73089
282711,40.3804487,-3.7277394
282714,40.3760402,-3.7369377
282715,40.3758601,-3.751540599999999
282717,40.3841797,-3.7230575
282720,40.3880939,-3.710342299999999
282722,40.3890664,-3.7047431
282724,40.3871777,-3.6996
282726,40.3802943,-3.6980654
282727,40.37915659999999,-3.716432299999999
282728,40.3835954,-3.7136103
282729,40.4376807,-3.654960399999999
282730,40.4377792,-3.6418302
282731,40.4431022,-3.6245457
282732,40.44349890000001,-3.6506432
282733,40.4369854,-3.6496943
282734,40.4442759,-3.6469093
282735,40.4262917,-3.6665401
282736,40.4368996,-3.667009999999999
282737,40.33636569999999,-3.759131
282739,40.4755464,-3.7025153
282740,40.4776101,-3.7007928
282741,40.4802282,-3.701002799999999
282743,40.4731446,-3.6989067
282745,40.4754402,-3.7078283
282746,40.4747786,-3.715354199999999
282747,40.4669236,-3.693448399999999
282748,40.4831076,-3.6958905
282749,40.41700549999999,-3.5250261
282752,40.4040104,-3.6435188
282753,40.4087362,-3.660465399999999
282756,40.4094444,-3.6499737
282757,40.4021313,-3.634407
282758,40.4003615,-3.6410665
282760,40.4123812,-3.6480072
282761,40.40383840000001,-3.637061
282762,40.40171300000001,-3.645552
282763,40.4074081,-3.6570395
282764,40.4743346,-3.6522299
282766,40.4826817,-3.7110424
282768,40.495526,-3.6960401
282769,40.4853068,-3.7055264
282770,40.4913742,-3.7140199
282771,40.492446,-3.695208
282772,40.4994416,-3.6865201
282774,40.4825324,-3.7275
282775,40.4804001,-3.7169271
282777,40.468551,-3.7212428
282779,40.4298984,-3.6288651
282780,40.3430116,-3.8350654
282783,40.2922345,-3.7529917
282784,40.4292182,-3.6323207
282787,40.42810739999999,-3.6247775
282788,40.4262269,-3.6172453
282789,40.388241,-3.647273199999999
282790,40.3923831,-3.6374342
282791,40.3829302,-3.6426825
282792,40.384809,-3.6389912
282793,40.3857118,-3.6440445
282794,40.3819917,-3.6421093
282795,40.4020648,-3.6554259
282796,40.3951139,-3.658047199999999
282797,40.3881311,-3.6369945
282799,40.3999294,-3.8383952
282800,40.3921408,-3.6460471
282801,40.3959714,-3.649089699999999
282803,40.4648317,-3.7129582
282804,40.46916840000001,-3.7177647
282805,40.4562663,-3.7114908
282806,40.4634299,-3.7031097
282807,40.459502,-3.71234
282810,40.3627651,-3.6967562
282811,40.3726588,-3.7006519
282812,40.3555832,-3.695630599999999
282813,40.3687623,-3.704812
282815,40.3539477,-3.6900007
282817,40.3720076,-3.7101154
282819,40.36841889999999,-3.7190187
282820,40.3701468,-3.6897233
282822,40.458956,-3.5847851
282823,40.4603057,-3.5912044
282825,40.4705987,-3.5838793
282827,40.4669895,-3.6340502
282828,40.4615178,-3.6539454
282830,40.4707731,-3.6472353
282832,40.3856252,-3.604294
282833,40.3748881,-3.6237504
282835,40.3779607,-3.6201907
282838,40.372521,-3.6172374
282840,40.4102606,-3.6139809
282841,40.4053089,-3.601402
282843,40.4728841,-3.6343338
282846,40.4783861,-3.6502275
282847,40.4805991,-3.6660671
282849,40.4710945,-3.629814
282853,40.47159440000001,-3.654494499999999
282854,40.46595629999999,-3.6326765
282855,40.42716890000001,-3.5443515
282858,40.451212,-3.6591097
282860,40.3798464,-3.776441299999999
282861,40.367368,-3.7545072
282865,40.37493920000001,-3.762592
282866,40.3792416,-3.7826727
282867,40.3814217,-3.7716667
282868,40.5444456,-3.6349601
282869,40.4055595,-3.6914141
282870,40.3943005,-3.6934987
282871,40.3922231,-3.6881214
282874,40.397443,-3.7553792
282875,40.385509,-3.755978
282876,40.3784523,-3.7523863
282877,40.3860081,-3.7466738
282878,40.3912099,-3.7504677
282882,40.4025322,-3.7401928
282883,40.39364459999999,-3.7414469
282885,40.2452627,-3.7738573
282887,40.54157319999999,-3.6968013
282889,40.4880163,-3.6639431
282947,40.434689,-3.681344999999999
282953,40.4535932,-3.6509241
282970,40.4403419,-3.719824899999999
282972,40.426914,-3.70162
282973,40.410759,-3.712870999999999
282979,40.4094714,-3.7387088
282983,40.429854,-3.70688
282986,40.3987567,-3.6494129
282988,40.3759135,-3.660819
282989,40.3483279,-3.7071654
282990,40.3942983,-3.7656498
283065,40.413383,-3.7287354
283138,40.471864,-3.641145
283207,40.4023011,-3.7063803
283208,40.4156612,-3.7328165
283209,40.40407099999999,-3.668707
283210,40.4298803,-3.6967306
283213,40.4212139,-3.6306184
283214,40.4251792,-3.6148985
283215,40.388895,-3.661158
283217,40.47317590000001,-3.6975879
283218,40.4603563,-3.7170159
283219,40.4281309,-3.6078082
283221,40.3904061,-3.76395
283224,40.3778838,-3.7640774
283225,40.3783859,-3.717173
283226,40.48073,-3.7025434
283227,40.412829,-3.6584027
283228,40.4059618,-3.6002334
283229,40.3949533,-3.6631462
283231,40.3698957,-3.6952321
283232,40.46379,-3.6505613
283248,40.4248836,-3.6864092
283249,40.4406659,-3.7125901
283250,40.3383988,-3.7473525
283252,40.4035617,-3.719984
283253,40.412613,-3.707413
283254,40.4422644,-3.6861364
283255,40.4094387,-3.666285
283256,40.4316436,-3.7357291
283257,40.4337248,-3.690006699999999
283258,40.4639412,-3.698522
