Organization,Lat,Lon
ESCOLA VEDRUNA CARME CARDONA,41.2194487,1.7336029
Ins de Cornellà,41.1554942,1.1044457
INSTITUCIÓ FAMILIAR d´EDUCACIÓ SA COLEGIO LA VALL,41.3225661,2.0899897
Escolàpies Masnou,41.4924109,2.1351521
Ins Can Mas Ripollet,41.124016,1.21064
Ramon Pont,41.3362264,2.0291441
Ins Jonqueres,41.2611739,1.7667942
Frederic Mistral Tècnic Eulàlia,41.5807285,2.009966
Escola Tàber,42.2679357,3.1776704
Smoothie Innovators,41.6007189,2.2830721
Oracle,41.6716141,1.8640692
Fundació FCB,42.2736671,2.9647556
Gravi,41.275371,1.490076
Ins Vila de Gràcia,41.8002423,0.5753433
Our Dream School,41.1464732,1.3785887
ASOCIACION CULTURAL DEL COLEGIO ALEMAN SAN ALBERTO MAGNO,41.5881792,2.3246407
St. Peter's,41.62644640000001,2.6938203
Institut Pineda de Mar,41.5461913,2.2865993
Padre Damián Sagrados Corazones,41.5389516,1.8728531
Jesús Salvador,41.1737282,1.2762681
Ins. Francesc Macià,41.3813217,2.1402308
Pntarei Sardegna,41.4435045,2.2269577
Vázquez Montalban,41.7561141,0.9057552
Fundació El Llindar,41.3782884,2.1504183
INS Jaume Balmes,41.7502249,2.1261527
Escola Jacint Verdager,41.9035167,1.8764758
Betània Patmos,41.3407423,1.6926194
Ins. Torrent de les Bruixes,41.6746618,2.251221
Institut La Talaia,41.1718623,1.0275222
CEIP Margalló,41.3581102,2.0712662
Paco Candel,41.1200001,1.2439878
DC Digital Camp,41.9117082,3.1646709
Escola Parellada,41.1613951,1.1161915
Escola Mare de Déu de Núria,41.6257453,0.6138371
Institut Can Vilumara,41.39370479999999,2.1961499
Ins La Guineueta,41.4574253,2.2459639
La Salle,41.9333901,2.2414141
INS Oriol Martorell,41.082092,1.134005
Escola Sagrats Cors,41.4976417,2.1215201
Cor de Maria Sabastida,41.394296,1.092168
INS Ramon de la Torre,41.2449038,1.8104847
Escola Terra Alta,41.381367,2.1924273
Escola Marià Fortuny,41.3425498,2.0368366
INS Terres de Ponent,41.5453741,2.4263968
Escola Pia Luz Casanova,41.137105,1.116735
INS Mont Pedrós,41.0865482,0.6330260000000001
INS Torras i BAges,41.4912798,2.0396513
Colònia Güell,41.4842463,2.1771263
Escola Joaquim Abril,41.4425196,2.1718503
Ins Camí de Mar Calafell,41.4427465,2.2452474
INSTITUT PAU VILA,41.0735498,1.0868057
INSTITUT TERRASSA,41.452986,2.2379793
Vilamajor,41.61721860000001,0.8681312
Escola Avenç,41.6000982,2.6159854
INS La Mar de la Frau,41.7368546,1.8277002
Ies Sentmenat,41.4801135,2.0538588
Educaires,41.55919249999999,1.9900764
ICE,41.3590464,2.1336115
Cor de Maria Sant Andreu de la Barca,41.629775,2.171766
Escola Joan Pelegrí,41.64458399999999,0.6115539999999999
Escola Ponent Granollers,41.6418365,1.1415525
INS Pere Barnils,41.3656217,2.0808431
Minyons d'Urgell,41.3490996,2.0231156
Escola Fort Pienc,41.5401266,2.2750336
Deloite,41.3769125,1.1566316
DESCONEGUDA,41.3560144,2.1035547
Districte Ciutat Vella,41.376091,2.1668599
DKV,41.349135,2.0709239
Doctor Alb,41.4018345,2.143067
EASD Pau Gargallo,41.2915703,1.2573921
Escola Sant Sebastià,41.5698449,1.9965808
Col·legi Jesús Maria i Josep,41.3913369,2.1818875
Enaire,41.3982421,2.2033087
Fundación Enaire,41.4080012,2.1677748
Escola Charles Darwin,41.415747,2.21248
Escola Colònia Güell,41.319019,2.084763
Escola Daina-Isard,41.8108118,3.0379386
ESCOLA EL CARME-VEDRUNA MANLLEU,41.1835736,1.4519806
ESCOLA EL CARME-VEDRUNA SABADELL,41.4465578,2.1729558
Escola Esperança,41.1469391,1.1156538
