Cód. cliente,Lat,Lon
276.0,36.80229380000001,-2.6225667
277.0,43.3311288,-2.9728316
279.0,37.9914604,-1.1269006
280.0,39.83546,3.11591
282.0,40.0586671,-3.6061867
286.0,37.3836768,-5.9743798
289.0,42.0030651,-4.5286734
290.0,41.5904841,2.5737079
291.0,41.5609261,2.0108298
292.0,36.5140502,-6.2832114
293.0,37.3209407,-4.011284799999999
294.0,37.324863,-4.158714
295.0,28.393927,-16.523196
298.0,43.268833,-2.9296427
301.0,41.9300817,2.2594848
302.0,40.5912849,-3.7066223
303.0,41.3677589,2.071901
304.0,28.6887569,-17.7651015
305.0,37.6014065,-0.9789466000000001
306.0,41.3804807,2.0477857
309.0,37.2454958,-1.8648829
311.0,41.4577517,2.0742239
314.0,41.5773923,2.0143398
318.0,40.3903559,-3.7282178
319.0,41.485358,2.187988
321.0,40.4605972,-3.661096
322.0,41.4912041,2.2632111
323.0,41.39679599999999,2.1486886
326.0,41.9592929,2.8141309
329.0,41.4628731,2.0610372
333.0,42.748248,-1.599497
335.0,41.486036,2.079194
336.0,37.3507267,-5.8619983
339.0,38.678593,-6.4194992
342.0,41.50288,2.3868
344.0,43.353438,-4.0474087
345.0,41.2135502,1.5237514
347.0,41.9251078,2.254819
348.0,28.1160057,-15.4216675
349.0,37.909612,-4.8014626
350.0,37.96871240000001,-4.4553325
351.0,41.69517039999999,2.7296905
355.0,42.795815,-4.27151
356.0,43.291216,-2.862195
357.0,39.5457027,-0.394077
358.0,43.3692158,-8.4037571
359.0,38.0893872,-0.9412353999999999
360.0,41.65325,0.5574049999999999
362.0,41.5794528,2.0115794
363.0,41.9411887,2.8079399
366.0,37.8622816,-0.800076
371.0,42.29626090000001,2.5693337
372.0,41.3690812,2.1002405
375.0,38.27369230000001,-0.637207
377.0,42.03376,1.87887
379.0,41.383901,2.084434
380.0,41.8507136,3.1316592
382.0,42.0571376,1.2684445
384.0,39.4476364,-0.3704586
387.0,41.54549710000001,2.1131297
388.0,39.921369,-0.095328
391.0,36.8550801,-6.0339408
392.0,36.871609,-6.1806263
393.0,42.792011,-4.259763
394.0,39.5632458,-0.5425975
395.0,35.8874443,-5.3096821
399.0,36.5145816,-6.275012
400.0,28.3079186,-16.4052541
402.0,41.6899647,2.1613892
404.0,42.456778,-2.452915
407.0,41.7841728,1.2890162
408.0,40.472508,-3.940343
409.0,39.71777429999999,2.9075475
410.0,41.13302849999999,1.2429231
412.0,43.3709359,-8.390055199999999
413.0,43.5317093,-8.071684
414.0,41.6198323,2.0920853
416.0,39.5612466,-1.9123934
422.0,37.8904706,-4.807000299999999
423.0,40.3939933,-3.7790796
427.0,38.8572378,-1.09694
428.0,35.8888946,-5.3200942
435.0,41.9772086,2.8129778
437.0,37.8854572,-4.776995500000001
438.0,40.95271220000001,-5.6191045
441.0,39.4841246,-0.358143
442.0,40.9690834,-5.6670205
444.0,37.987501,-1.111265
445.0,39.6339388,2.6342508
446.0,41.357388,2.119032
451.0,36.6771888,-6.126637100000001
452.0,39.5234308,-0.4156806
453.0,39.40202,-0.411838
463.0,40.965951,-5.657956
464.0,39.4867654,-0.3976107
465.0,36.8239641,-2.5842062
466.0,38.6289448,-0.8484524
468.0,40.4670317,-3.6726946
469.0,37.7795884,-3.802933
474.0,43.501022,-8.1923424
475.0,42.4618217,-2.4499536
477.0,43.37598699999999,-8.396835
478.0,36.8291139,-2.4031275
480.0,28.6593621,-17.9160065
482.0,42.01114099999999,2.8251707
484.0,41.2866534,1.2521725
486.0,28.393927,-16.523196
489.0,42.4157324,-2.7344038
491.0,39.411334,-0.466778
494.0,41.6687715,-0.8390367999999999
495.0,36.5135952,-4.8870764
496.0,43.3425813,-2.8204306
497.0,37.987501,-1.111265
501.0,41.6190371,2.5381161
505.0,38.0814532,-0.9462602
507.0,39.7271102,2.9190833
508.0,41.5398661,2.1183872
509.0,39.6256481,-0.3014376
511.0,43.5366273,-5.701703699999999
513.0,28.397076,-16.5507261
515.0,41.46269059999999,2.0599425
516.0,28.4909192,-16.3168713
517.0,42.2679013,2.9520278
518.0,41.3470745,1.7001211
519.0,41.4924933,2.0699881
521.0,41.905847,-1.722045
524.0,37.3598432,-4.5418141
529.0,41.3470745,1.7001211
530.0,40.472508,-3.940343
532.0,42.1033283,1.8419641
533.0,40.391435,0.405367
537.0,40.448148,-3.675616
542.0,43.324623,-3.028643
543.0,41.345037,1.697804
544.0,41.6499543,-0.8922800999999999
546.0,41.57515100000001,2.032212
549.0,40.4119011,-3.6672316
550.0,41.3471675,2.0373476
551.0,43.3181366,-1.919743
554.0,43.3108747,-3.0571113
555.0,42.813426,-1.598832
556.0,41.4573378,2.0910377
557.0,40.43445639999999,-3.669181
559.0,39.4683848,-0.3707161
561.0,38.9861653,-1.8553574
562.0,39.5497193,-0.3884198
567.0,38.111802,-2.549213
568.0,41.3604368,2.1217307
569.0,42.2011797,2.1882442
570.0,41.8785844,2.5075627
571.0,41.9174479,0.1833782
